CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
CPU 11 is empty
CPU 12 is empty
CPU 13 is empty
CPU 14 is empty
CPU 15 is empty
CPU 16 is empty
CPU 17 is empty
CPU 18 is empty
CPU 19 is empty
CPU 20 is empty
CPU 21 is empty
CPU 22 is empty
CPU 23 is empty
CPU 24 is empty
CPU 27 is empty
CPU 28 is empty
CPU 30 is empty
CPU 31 is empty
cpus=32
     firecracker-1743662 [025] 1301062.226856: kvm_update_master_clock: masterclock 0 hostclock 0x1 offsetmatched 0
     firecracker-1743662 [026] 1301062.230031: kvm_cpuid:            func 1 idx cf50bd01 rax 0 rbx 0 rcx 0 rdx 0, cpuid entry not found
       fc_vcpu 0-1743666 [029] 1301062.250448: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000014 101000
       fc_vcpu 0-1743666 [029] 1301062.250448: kvm_page_fault:       address 101000 error_code 14
       fc_vcpu 0-1743666 [029] 1301062.250449: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250453: kvm_exit:             reason UNKNOWN (148) rip 0x100000 info 40660 0
       fc_vcpu 0-1743666 [029] 1301062.250454: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250458: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000004 12d000
       fc_vcpu 0-1743666 [029] 1301062.250458: kvm_page_fault:       address 12d000 error_code 4
       fc_vcpu 0-1743666 [029] 1301062.250459: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250463: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000004 105000
       fc_vcpu 0-1743666 [029] 1301062.250463: kvm_page_fault:       address 105000 error_code 4
       fc_vcpu 0-1743666 [029] 1301062.250463: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250467: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000004 10d000
       fc_vcpu 0-1743666 [029] 1301062.250467: kvm_page_fault:       address 10d000 error_code 4
       fc_vcpu 0-1743666 [029] 1301062.250468: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250473: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000006 10a000
       fc_vcpu 0-1743666 [029] 1301062.250473: kvm_page_fault:       address 10a000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250475: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250480: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000006 10b000
       fc_vcpu 0-1743666 [029] 1301062.250480: kvm_page_fault:       address 10b000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250483: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250487: kvm_exit:             reason EXIT_NPF rip 0x100000 info 500000006 10c000
       fc_vcpu 0-1743666 [029] 1301062.250488: kvm_page_fault:       address 10c000 error_code 6
       fc_vcpu 0-1743666 [029] 1301062.250490: kvm_entry:            vcpu 0, rip 0x100000
       fc_vcpu 0-1743666 [029] 1301062.250495: kvm_exit:             reason EXIT_SHUTDOWN rip 0x100000 info 0 0
       fc_vcpu 0-1743666 [029] 1301062.250496: kvm_fpu:              unload
       fc_vcpu 0-1743666 [029] 1301062.250497: kvm_userspace_exit:   reason KVM_EXIT_UNKNOWN (0)
       fc_vcpu 0-1743666 [029] 1301062.250707: kvm_unmap_hva_range:  mmu notifier unmap range: 0x007facb80c3000 -- 0x007facb80c6000
       fc_vcpu 0-1743666 [029] 1301062.250742: kvm_unmap_hva_range:  mmu notifier unmap range: 0x007facb7ebd000 -- 0x007facb7ec0000
     firecracker-1743662 [026] 1301062.250757: kvm_unmap_hva_range:  mmu notifier unmap range: 0x007facb7ec0000 -- 0x007facb80c3000
